RegionName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021
"New York, NY","$421,667.00 ","$423,333.00 ","$424,983.00 ","$428,317.00 ","$431,650.00 ","$440,000.00 ","$444,667.00 ","$452,833.00 ","$456,167.00 ","$463,167.00 ","$468,333.00 ","$471,667.00 ","$471,667.00 ","$471,667.00 ","$475,000.00 ","$483,333.00 ","$495,000.00 ","$510,000.00 ","$522,917.00 ","$534,583.00 "
"Los Angeles-Long Beach-Anaheim, CA","$656,500.00 ","$660,417.00 ","$667,800.00 ","$671,467.00 ","$669,383.00 ","$670,333.00 ","$685,333.00 ","$710,000.00 ","$728,000.00 ","$735,667.00 ","$735,667.00 ","$732,667.00 ","$728,333.00 ","$735,000.00 ","$750,333.00 ","$775,333.00 ","$799,333.00 ","$817,333.00 ","$825,667.00 ","$828,333.00 "
"Chicago, IL","$231,333.00 ","$229,667.00 ","$235,333.00 ","$247,167.00 ","$254,500.00 ","$256,167.00 ","$257,333.00 ","$263,333.00 ","$266,667.00 ","$268,333.00 ","$265,000.00 ","$263,333.00 ","$257,592.00 ","$255,925.00 ","$259,258.00 ","$268,333.00 ","$281,667.00 ","$290,000.00 ","$293,667.00 ","$292,000.00 "
"Dallas-Fort Worth, TX","$270,500.00 ","$271,833.00 ","$273,333.00 ","$279,832.00 ","$281,832.00 ","$285,165.00 ","$290,000.00 ","$296,500.00 ","$299,500.00 ","$299,500.00 ","$299,667.00 ","$300,000.00 ","$297,998.00 ","$301,332.00 ","$307,998.00 ","$320,667.00 ","$334,000.00 ","$345,667.00 ","$354,568.00 ","$356,235.00 "
"Philadelphia, PA","$249,000.00 ","$248,000.00 ","$249,167.00 ","$259,167.00 ","$266,167.00 ","$271,833.00 ","$274,167.00 ","$279,833.00 ","$283,007.00 ","$282,307.00 ","$278,974.00 ","$278,300.00 ","$275,000.00 ","$271,167.00 ","$267,833.00 ","$272,833.00 ","$281,200.00 ","$293,950.00 ","$302,283.00 ","$309,417.00 "
"Houston, TX","$244,633.00 ","$245,310.00 ","$244,461.00 ","$249,641.00 ","$249,862.00 ","$253,862.00 ","$258,865.00 ","$264,333.00 ","$264,833.00 ","$263,650.00 ","$264,617.00 ","$267,708.00 ","$266,558.00 ","$268,907.00 ","$274,857.00 ","$285,190.00 ","$294,208.00 ","$301,667.00 ","$306,539.00 ","$307,539.00 "
"Washington, DC","$413,633.00 ","$412,685.00 ","$417,535.00 ","$431,568.00 ","$437,516.00 ","$438,292.00 ","$445,958.00 ","$452,625.00 ","$456,667.00 ","$451,667.00 ","$449,967.00 ","$447,898.00 ","$439,564.00 ","$431,264.00 ","$436,667.00 ","$456,667.00 ","$481,667.00 ","$495,000.00 ","$499,667.00 ","$493,000.00 "
"Miami-Fort Lauderdale, FL","$300,000.00 ","$297,000.00 ","$299,000.00 ","$304,833.00 ","$310,167.00 ","$314,833.00 ","$319,000.00 ","$325,000.00 ","$328,333.00 ","$330,000.00 ","$330,000.00 ","$330,000.00 ","$331,667.00 ","$335,000.00 ","$340,000.00 ","$345,000.00 ","$351,000.00 ","$356,750.00 ","$361,750.00 ","$365,000.00 "
"Atlanta, GA","$258,333.00 ","$260,000.00 ","$262,167.00 ","$270,833.00 ","$270,833.00 ","$271,174.00 ","$272,507.00 ","$279,174.00 ","$283,167.00 ","$284,833.00 ","$284,833.00 ","$285,000.00 ","$283,333.00 ","$284,192.00 ","$290,858.00 ","$302,683.00 ","$315,825.00 ","$325,908.00 ","$333,068.00 ","$333,543.00 "
"Boston, MA","$462,677.00 ","$466,343.00 ","$473,010.00 ","$486,333.00 ","$495,750.00 ","$504,083.00 ","$509,583.00 ","$520,833.00 ","$525,833.00 ","$521,667.00 ","$514,667.00 ","$511,333.00 ","$511,333.00 ","$514,083.00 ","$521,750.00 ","$538,417.00 ","$559,333.00 ","$583,333.00 ","$595,000.00 ","$598,333.00 "
"San Francisco, CA","$794,871.00 ","$781,667.00 ","$790,000.00 ","$818,167.00 ","$836,500.00 ","$848,167.00 ","$863,333.00 ","$885,333.00 ","$898,667.00 ","$900,000.00 ","$901,333.00 ","$891,333.00 ","$872,333.00 ","$870,667.00 ","$900,667.00 ","$972,333.00 ","$1,031,000.00 ","$1,061,000.00 ","$1,058,667.00 ","$1,033,333.00 "
"Detroit, MI","$185,833.00 ","$182,500.00 ","$185,667.00 ","$194,333.00 ","$199,333.00 ","$203,648.00 ","$209,982.00 ","$217,315.00 ","$221,333.00 ","$218,000.00 ","$217,167.00 ","$213,833.00 ","$208,833.00 ","$202,667.00 ","$203,667.00 ","$211,983.00 ","$226,617.00 ","$234,950.00 ","$241,600.00 ","$241,633.00 "
"Riverside, CA","$385,833.00 ","$388,000.00 ","$392,000.00 ","$393,667.00 ","$395,667.00 ","$398,667.00 ","$407,000.00 ","$414,000.00 ","$422,000.00 ","$427,000.00 ","$431,833.00 ","$435,167.00 ","$437,750.00 ","$442,583.00 ","$450,917.00 ","$462,500.00 ","$474,167.00 ","$484,167.00 ","$493,667.00 ","$498,667.00 "
"Phoenix, AZ","$297,163.00 ","$298,833.00 ","$300,833.00 ","$302,000.00 ","$302,000.00 ","$303,654.00 ","$308,987.00 ","$317,321.00 ","$324,000.00 ","$330,967.00 ","$334,300.00 ","$335,967.00 ","$338,333.00 ","$345,000.00 ","$355,000.00 ","$365,667.00 ","$379,000.00 ","$390,667.00 ","$400,408.00 ","$406,075.00 "
"Seattle, WA","$501,192.00 ","$508,767.00 ","$514,233.00 ","$526,317.00 ","$524,667.00 ","$529,650.00 ","$536,650.00 ","$551,650.00 ","$560,000.00 ","$563,333.00 ","$563,333.00 ","$556,667.00 ","$555,000.00 ","$558,333.00 ","$578,333.00 ","$603,000.00 ","$631,333.00 ","$648,000.00 ","$657,983.00 ","$658,983.00 "
"Minneapolis-St Paul, MN","$277,825.00 ","$277,159.00 ","$282,327.00 ","$291,835.00 ","$297,152.00 ","$299,317.00 ","$302,650.00 ","$309,000.00 ","$311,000.00 ","$311,333.00 ","$309,667.00 ","$308,667.00 ","$305,000.00 ","$304,967.00 ","$311,600.00 ","$323,267.00 ","$333,300.00 ","$340,241.00 ","$344,741.00 ","$348,075.00 "
"San Diego, CA","$598,417.00 ","$599,417.00 ","$605,750.00 ","$605,000.00 ","$601,667.00 ","$603,333.00 ","$616,667.00 ","$633,333.00 ","$651,000.00 ","$657,667.00 ","$662,000.00 ","$657,667.00 ","$656,000.00 ","$664,000.00 ","$684,000.00 ","$707,750.00 ","$726,083.00 ","$742,750.00 ","$750,667.00 ","$748,333.00 "
"St. Louis, MO","$190,268.00 ","$185,983.00 ","$185,000.00 ","$189,333.00 ","$200,000.00 ","$206,667.00 ","$211,667.00 ","$216,167.00 ","$217,167.00 ","$215,500.00 ","$211,000.00 ","$209,556.00 ","$206,889.00 ","$203,523.00 ","$203,217.00 ","$206,550.00 ","$214,917.00 ","$223,333.00 ","$231,000.00 ","$231,733.00 "
"Tampa, FL","$239,000.00 ","$238,333.00 ","$236,833.00 ","$241,500.00 ","$246,000.00 ","$250,427.00 ","$253,427.00 ","$258,260.00 ","$261,733.00 ","$263,066.00 ","$263,733.00 ","$264,000.00 ","$264,997.00 ","$267,163.00 ","$270,497.00 ","$277,167.00 ","$284,315.00 ","$294,315.00 ","$300,855.00 ","$306,507.00 "
"Baltimore, MD","$298,333.00 ","$295,000.00 ","$295,000.00 ","$303,333.00 ","$308,333.00 ","$310,074.00 ","$310,074.00 ","$315,074.00 ","$320,000.00 ","$321,633.00 ","$321,633.00 ","$314,967.00 ","$310,000.00 ","$303,333.00 ","$303,333.00 ","$304,000.00 ","$314,083.00 ","$325,083.00 ","$335,583.00 ","$340,500.00 "
"Denver, CO","$427,098.00 ","$429,431.00 ","$437,731.00 ","$443,392.00 ","$446,726.00 ","$445,926.00 ","$450,833.00 ","$455,833.00 ","$459,667.00 ","$463,000.00 ","$464,667.00 ","$464,122.00 ","$460,788.00 ","$464,122.00 ","$479,000.00 ","$500,667.00 ","$522,333.00 ","$538,333.00 ","$546,467.00 ","$548,133.00 "
"Pittsburgh, PA","$170,333.00 ","$166,667.00 ","$166,833.00 ","$177,167.00 ","$185,500.00 ","$190,333.00 ","$193,300.00 ","$196,633.00 ","$199,467.00 ","$196,500.00 ","$192,167.00 ","$187,667.00 ","$182,333.00 ","$182,333.00 ","$187,300.00 ","$193,967.00 ","$203,300.00 ","$211,333.00 ","$219,667.00 ","$219,667.00 "
"Portland, OR","$404,763.00 ","$403,096.00 ","$409,546.00 ","$413,117.00 ","$416,450.00 ","$418,833.00 ","$425,500.00 ","$434,500.00 ","$439,000.00 ","$443,667.00 ","$443,487.00 ","$443,487.00 ","$441,876.00 ","$448,023.00 ","$458,389.00 ","$471,272.00 ","$483,638.00 ","$494,018.00 ","$502,577.00 ","$508,577.00 "
"Charlotte, NC","$267,633.00 ","$268,607.00 ","$270,440.00 ","$278,273.00 ","$279,467.00 ","$281,797.00 ","$284,330.00 ","$293,497.00 ","$295,500.00 ","$298,167.00 ","$297,667.00 ","$297,000.00 ","$293,667.00 ","$292,236.00 ","$297,902.00 ","$307,447.00 ","$320,578.00 ","$330,578.00 ","$337,700.00 ","$341,080.00 "
"Sacramento, CA","$423,167.00 ","$425,000.00 ","$429,250.00 ","$435,250.00 ","$436,917.00 ","$440,667.00 ","$449,667.00 ","$460,667.00 ","$469,333.00 ","$474,333.00 ","$475,833.00 ","$475,833.00 ","$470,833.00 ","$473,667.00 ","$485,333.00 ","$502,000.00 ","$521,667.00 ","$536,667.00 ","$547,333.00 ","$550,667.00 "
"San Antonio, TX","$229,958.00 ","$230,667.00 ","$230,667.00 ","$235,333.00 ","$239,000.00 ","$243,333.00 ","$248,667.00 ","$252,332.00 ","$254,665.00 ","$254,967.00 ","$255,635.00 ","$257,169.00 ","$256,333.00 ","$257,467.00 ","$257,600.00 ","$263,630.00 ","$270,497.00 ","$279,130.00 ","$286,650.00 ","$291,650.00 "
"Orlando, FL","$275,536.00 ","$276,128.00 ","$272,009.00 ","$273,009.00 ","$275,250.00 ","$277,807.00 ","$279,807.00 ","$282,307.00 ","$282,667.00 ","$282,000.00 ","$283,333.00 ","$285,667.00 ","$287,333.00 ","$289,000.00 ","$293,333.00 ","$299,468.00 ","$304,968.00 ","$312,634.00 ","$321,667.00 ","$329,500.00 "
"Cincinnati, OH","$186,967.00 ","$186,750.00 ","$189,050.00 ","$196,383.00 ","$198,201.00 ","$201,301.00 ","$204,674.00 ","$212,523.00 ","$212,790.00 ","$212,750.00 ","$211,667.00 ","$210,833.00 ","$205,667.00 ","$200,667.00 ","$201,500.00 ","$210,167.00 ","$218,500.00 ","$231,583.00 ","$238,083.00 ","$243,792.00 "
"Cleveland, OH","$150,000.00 ","$150,000.00 ","$152,667.00 ","$157,667.00 ","$162,667.00 ","$166,633.00 ","$169,800.00 ","$173,467.00 ","$174,833.00 ","$174,583.00 ","$172,250.00 ","$171,583.00 ","$167,000.00 ","$165,000.00 ","$163,333.00 ","$167,333.00 ","$173,333.00 ","$181,717.00 ","$189,467.00 ","$195,783.00 "
"Kansas City, MO","$221,667.00 ","$221,667.00 ","$226,633.00 ","$232,925.00 ","$240,592.00 ","$243,958.00 ","$250,333.00 ","$254,983.00 ","$258,300.00 ","$256,800.00 ","$254,650.00 ","$249,667.00 ","$247,167.00 ","$247,000.00 ","$251,583.00 ","$259,083.00 ","$269,417.00 ","$276,500.00 ","$282,000.00 ","$280,000.00 "
"Las Vegas, NV","$306,565.00 ","$307,648.00 ","$308,180.00 ","$309,408.00 ","$310,325.00 ","$314,484.00 ","$319,150.00 ","$320,817.00 ","$319,667.00 ","$320,000.00 ","$321,667.00 ","$323,333.00 ","$324,000.00 ","$325,667.00 ","$330,333.00 ","$338,000.00 ","$347,000.00 ","$355,667.00 ","$365,333.00 ","$371,333.00 "
"Columbus, OH","$209,950.00 ","$213,217.00 ","$219,483.00 ","$226,617.00 ","$231,867.00 ","$231,850.00 ","$234,883.00 ","$236,650.00 ","$236,683.00 ","$232,119.00 ","$230,103.00 ","$230,103.00 ","$229,333.00 ","$224,794.00 ","$227,694.00 ","$235,861.00 ","$252,050.00 ","$263,817.00 ","$267,983.00 ","$271,667.00 "
"Indianapolis, IN","$193,000.00 ","$193,000.00 ","$197,667.00 ","$207,667.00 ","$215,667.00 ","$218,333.00 ","$221,667.00 ","$225,167.00 ","$227,833.00 ","$227,833.00 ","$226,667.00 ","$223,833.00 ","$220,500.00 ","$220,500.00 ","$221,667.00 ","$229,167.00 ","$239,167.00 ","$250,334.00 ","$256,801.00 ","$256,701.00 "
"San Jose, CA","$990,833.00 ","$1,003,333.00 ","$1,045,000.00 ","$1,106,667.00 ","$1,123,333.00 ","$1,126,667.00 ","$1,125,000.00 ","$1,133,333.00 ","$1,135,000.00 ","$1,151,470.00 ","$1,144,803.00 ","$1,144,803.00 ","$1,131,667.00 ","$1,139,833.00 ","$1,181,500.00 ","$1,238,167.00 ","$1,286,667.00 ","$1,316,667.00 ","$1,315,000.00 ","$1,316,667.00 "
"Austin, TX","$315,852.00 ","$319,852.00 ","$323,333.00 ","$330,000.00 ","$332,333.00 ","$335,667.00 ","$344,583.00 ","$352,250.00 ","$357,250.00 ","$361,667.00 ","$365,750.00 ","$370,750.00 ","$370,750.00 ","$381,333.00 ","$402,333.00 ","$439,000.00 ","$462,667.00 ","$479,986.00 ","$484,986.00 ","$486,986.00 "
"Virginia Beach, VA","$251,267.00 ","$250,300.00 ","$252,300.00 ","$256,333.00 ","$265,633.00 ","$268,967.00 ","$275,800.00 ","$275,833.00 ","$279,167.00 ","$276,667.00 ","$278,333.00 ","$276,667.00 ","$273,800.00 ","$269,467.00 ","$269,467.00 ","$275,333.00 ","$284,000.00 ","$292,333.00 ","$297,667.00 ","$298,333.00 "
"Nashville, TN","$306,107.00 ","$302,173.00 ","$301,508.00 ","$306,267.00 ","$310,133.00 ","$310,800.00 ","$315,800.00 ","$321,633.00 ","$324,267.00 ","$325,967.00 ","$324,967.00 ","$325,667.00 ","$322,333.00 ","$325,167.00 ","$331,167.00 ","$341,167.00 ","$352,667.00 ","$365,000.00 ","$376,633.00 ","$383,300.00 "
"Providence, RI","$290,650.00 ","$285,617.00 ","$291,633.00 ","$298,283.00 ","$308,317.00 ","$310,650.00 ","$315,667.00 ","$324,000.00 ","$330,750.00 ","$334,083.00 ","$332,383.00 ","$330,300.00 ","$326,967.00 ","$321,333.00 ","$322,333.00 ","$327,333.00 ","$339,667.00 ","$353,333.00 ","$362,967.00 ","$372,967.00 "
"Milwaukee, WI","$194,333.00 ","$192,167.00 ","$197,833.00 ","$207,767.00 ","$215,433.00 ","$220,417.00 ","$222,150.00 ","$228,983.00 ","$229,000.00 ","$227,333.00 ","$221,667.00 ","$218,667.00 ","$214,633.00 ","$212,783.00 ","$214,783.00 ","$221,150.00 ","$228,000.00 ","$237,333.00 ","$241,667.00 ","$239,333.00 "
"Jacksonville, FL","$252,660.00 ","$254,327.00 ","$254,993.00 ","$257,997.00 ","$260,660.00 ","$262,330.00 ","$267,663.00 ","$270,833.00 ","$273,167.00 ","$272,967.00 ","$273,800.00 ","$275,852.00 ","$274,052.00 ","$274,052.00 ","$277,333.00 ","$288,153.00 ","$298,153.00 ","$306,063.00 ","$310,543.00 ","$312,210.00 "
"Memphis, TN","$184,333.00 ","$184,167.00 ","$186,167.00 ","$196,167.00 ","$203,000.00 ","$209,333.00 ","$212,083.00 ","$216,417.00 ","$219,750.00 ","$221,000.00 ","$220,917.00 ","$217,583.00 ","$210,167.00 ","$204,250.00 ","$206,917.00 ","$214,333.00 ","$226,333.00 ","$237,000.00 ","$244,500.00 ","$247,500.00 "
"Oklahoma City, OK","$186,967.00 ","$187,000.00 ","$188,333.00 ","$193,333.00 ","$195,667.00 ","$199,333.00 ","$202,667.00 ","$208,667.00 ","$209,000.00 ","$209,667.00 ","$209,000.00 ","$208,333.00 ","$206,000.00 ","$205,000.00 ","$208,333.00 ","$213,333.00 ","$216,667.00 ","$220,000.00 ","$223,333.00 ","$223,333.00 "
"Louisville-Jefferson County, KY","$189,333.00 ","$189,800.00 ","$189,800.00 ","$194,967.00 ","$198,833.00 ","$205,500.00 ","$213,833.00 ","$220,000.00 ","$220,750.00 ","$217,417.00 ","$216,417.00 ","$212,333.00 ","$210,633.00 ","$206,633.00 ","$209,967.00 ","$212,750.00 ","$220,750.00 ","$227,417.00 ","$234,667.00 ","$236,667.00 "
"Hartford, CT","$224,407.00 ","$221,074.00 ","$223,333.00 ","$228,767.00 ","$237,100.00 ","$241,100.00 ","$245,667.00 ","$252,333.00 ","$256,500.00 ","$257,817.00 ","$256,150.00 ","$256,483.00 ","$255,167.00 ","$251,833.00 ","$250,000.00 ","$253,333.00 ","$261,667.00 ","$272,333.00 ","$279,833.00 ","$286,483.00 "
"Richmond, VA","$262,678.00 ","$258,372.00 ","$256,527.00 ","$263,518.00 ","$272,808.00 ","$275,475.00 ","$279,483.00 ","$280,590.00 ","$284,358.00 ","$286,000.00 ","$287,118.00 ","$288,683.00 ","$283,692.00 ","$285,313.00 ","$285,647.00 ","$295,347.00 ","$298,683.00 ","$306,433.00 ","$310,208.00 ","$316,875.00 "
"New Orleans, LA","$219,667.00 ","$216,300.00 ","$213,300.00 ","$215,300.00 ","$219,333.00 ","$225,000.00 ","$227,333.00 ","$231,000.00 ","$229,333.00 ","$229,333.00 ","$230,000.00 ","$231,667.00 ","$230,000.00 ","$228,000.00 ","$229,667.00 ","$235,830.00 ","$240,163.00 ","$245,163.00 ","$247,333.00 ","$250,000.00 "
